;QED;MolWt;NumRotatableBonds;TPSA;NumHAcceptors;NumHDonors;Activity
0;0.38719040935658794;356.3810000000001;4;63.449999999999996;3;0;0.0
1;0.6181549698369107;376.19700000000006;2;41.13;2;2;0.0
2;0.38719040935658794;356.3810000000001;4;63.449999999999996;3;0;0.0
3;0.8002024136179818;336.3910000000001;3;49.85;4;0;0.0
4;0.6571266491808183;355.44100000000003;4;36.440000000000005;3;0;0.0
5;0.6163911959913138;385.4670000000001;5;45.67;4;0;0.0
6;0.6260335419254588;354.45300000000003;4;23.550000000000004;2;0;0.0
7;0.6284509218853502;340.42600000000004;3;23.550000000000004;2;0;0.0
8;0.569876605254608;367.44800000000004;5;29.54;2;0;0.0
9;0.5892698478928082;337.4220000000001;4;20.310000000000002;1;0;0.0
10;0.28335604839540607;442.47100000000023;7;81.91;5;0;0.0
11;0.7871473124362075;278.35499999999996;2;23.550000000000004;2;0;0.0
12;0.6243365305211155;390.224;2;32.34;2;1;0.0
13;0.3443916315252556;382.4190000000001;5;63.449999999999996;3;0;0.0
14;0.5154344571263972;266.256;2;72.24;3;1;0.0
15;0.8047197282110773;247.297;2;29.1;1;1;0.0
16;0.5670811828478972;366.46400000000006;4;23.550000000000004;2;0;
17;0.25805495429375586;444.4620000000002;8;72.67999999999999;4;0;
18;0.5897771469306744;384.4790000000001;5;32.78;3;0;
19;0.5537113492870039;380.49100000000004;5;23.550000000000004;2;0;
20;0.6639916472370789;341.41400000000004;3;36.440000000000005;3;0;
21;0.5154344571263972;266.256;2;72.24;3;1;
22;0.3150037961361432;412.4450000000001;6;72.67999999999999;4;0;
23;0.31500379613614304;412.44500000000016;6;72.67999999999999;4;0;
24;0.7588313518520972;362.4290000000001;4;49.85;4;0;
25;0.8444550148002752;264.328;2;32.34;2;1;
26;0.5963159023019061;381.47900000000004;5;36.440000000000005;3;0;
27;0.7984854937501932;293.34499999999997;4;50.82;3;0;
28;0.5099078254574322;410.51700000000017;6;32.78;3;0;
29;0.804733561049004;304.393;3;23.550000000000004;2;0;
30;0.3150037961361432;412.4450000000001;6;72.67999999999999;4;0;
31;0.6566289647501394;280.327;2;52.57000000000001;3;2;
32;0.5329700854980276;292.294;3;72.24;3;1;
33;0.5468243680696673;411.50500000000017;6;45.67;4;0;
34;0.8489920398531697;265.316;2;45.230000000000004;3;1;
35;0.6140890375689657;367.45200000000006;4;36.440000000000005;3;0;
36;0.8677810960540895;277.323;3;38.33;2;1;
37;0.28335604839540607;442.47100000000023;7;81.91;5;0;
38;0.4896690215006365;395.50600000000003;5;49.57000000000001;3;1;
39;0.3443916315252556;382.4190000000001;5;63.449999999999996;3;0;
40;0.8424807947775861;287.43199999999996;2;18.509999999999998;4;1;
41;0.8274806181068481;376.1970000000001;3;41.46;3;1;
42;0.3051662695642686;425.48800000000006;6;66.69;4;0;
43;0.25805495429375586;444.4620000000002;8;72.67999999999999;4;0;
44;0.31500379613614304;412.44500000000016;6;72.67999999999999;4;0;
45;0.41642782717775;270.381;1;42.150000000000006;3;1;
46;0.7396954524856885;282.318;4;48.14;3;1;
47;0.8720015933283887;290.366;3;32.34;2;1;
48;0.6737956794499608;306.365;3;52.57000000000001;3;2;1.0
49;0.728250962400448;327.359;6;67.27;5;2;1.0
50;0.6440527564404859;262.312;2;55.120000000000005;2;2;1.0
51;0.7099793375574223;312.344;5;68.37;4;2;1.0
52;0.883315738938258;291.354;3;45.230000000000004;3;1;1.0
53;0.6377159738190779;368.45200000000006;8;45.59;4;1;1.0
54;0.5329700854980276;292.294;3;72.24;3;1;1.0
55;0.7466183628163554;341.386;6;58.480000000000004;5;1;1.0
56;0.7459692482069354;390.22400000000005;3;32.67;3;0;1.0
57;0.2920990829738133;432.5210000000002;12;68.54;8;0;1.0
58;0.7258384801117215;326.371;6;54.379999999999995;4;2;1.0
59;0.681401640692216;340.398;7;54.379999999999995;4;2;1.0
60;0.6986390031308142;369.3680000000001;5;73.86;4;1;1.0
61;0.4312642980410855;408.26800000000003;3;40.85;5;0;1.0
62;0.5329625065339253;286.24300000000005;2;119.84000000000002;7;4;0.0
63;0.5422094269994251;302.31100000000004;2;106.70000000000002;7;4;0.0
64;0.4881930798044984;379.23100000000005;2;80.92;5;4;0.0
65;0.5095927314649248;290.271;1;110.38000000000001;6;5;0.0
66;0.5392661352604928;285.25500000000005;2;106.95000000000002;6;4;0.0
67;0.6312204925700874;328.324;2;113.59000000000002;6;4;0.0
68;0.5337163795428247;285.25900000000007;2;111.63000000000001;7;4;0.0
69;0.4262529481687498;340.129;2;110.02000000000001;5;5;0.0
70;0.103643261728404;658.6120000000004;8;190.67;13;5;0.0
71;0.3271540620183625;339.30300000000005;3;124.06000000000002;6;4;0.0
72;0.3905384760274634;272.256;3;97.99000000000001;5;4;0.0
73;0.3868815235880041;351.152;3;97.99000000000001;5;4;0.0
74;0.5422094269994251;302.31100000000004;2;106.70000000000002;7;4;0.0
75;0.5481228320623274;368.3850000000001;8;93.06000000000002;6;2;0.0
76;0.103643261728404;658.6120000000004;8;190.67;13;5;0.0
77;0.2658922822845602;408.4310000000001;3;121.38000000000001;7;6;0.0
78;0.46492981998750077;316.334;2;101.15;6;5;0.0
79;0.15927088668684064;555.6880000000001;7;95.9;7;1;0.0
80;0.24845085685856402;437.58900000000006;6;20.310000000000002;4;0;0.0
81;0.15184366174422634;575.715;6;60.93000000000001;6;0;0.0
82;0.1805632677944921;588.8230000000002;6;25.240000000000002;6;0;0.0
83;0.23284725116352742;499.68600000000026;4;61.739999999999995;7;0;0.0
84;0.625823136418783;323.348;7;76.49000000000001;5;1;0.0
85;0.6361944492821662;300.404;4;26.3;4;0;0.0
86;0.13724320120860897;654.886;7;75.05000000000001;7;1;0.0
87;0.17066905836247892;636.871;6;55.75;7;0;0.0
88;0.22049958120884647;489.6250000000001;6;46.09;6;0;0.0
89;0.17194620940539532;547.6610000000001;6;78.51;6;2;0.0
90;0.5780704049324118;348.452;4;56.809999999999995;5;0;0.0
91;0.2254116418500486;485.63700000000006;6;50.82;5;0;0.0
92;0.7260000170352944;234.30200000000002;2;24.92;2;1;0.0
93;0.5481228320623274;368.3850000000001;8;93.06;6;2;0.0
94;0.1981661697981393;537.6730000000001;6;76.6;7;0;0.0
95;0.18060537333930995;503.65200000000016;7;70.12;5;1;0.0
96;0.3868815235880041;351.15200000000004;3;97.99000000000001;5;4;0.0
97;0.5232811106031025;480.66000000000037;6;38.74;6;0;0.0
98;0.4994521560667942;259.217;1;106.95000000000002;6;4;0.0
99;0.4118736338598343;248.234;2;101.15;5;5;0.0
100;0.2854004043970032;530.6720000000005;7;50.72;6;0;0.0
101;0.5050065314841863;284.408;1;19.14;3;0;0.0
102;0.7343337564885469;256.33000000000004;2;45.150000000000006;4;2;0.0
103;0.3707504645634647;318.237;1;151.59;8;6;0.0
104;0.41212440526612226;256.354;1;42.150000000000006;3;1;0.0
105;0.29275469264991644;318.237;1;151.59;8;6;0.0
106;0.5662654325291125;270.38100000000003;2;28.160000000000004;3;1;0.0
107;0.3796767065214474;256.354;0;41.92;3;1;0.0
108;0.5050065314841863;284.408;1;19.14;3;0;0.0
109;0.6270778748325593;312.321;7;76.74000000000001;5;1;0.0
110;0.21150323672030336;458.37500000000017;3;197.36999999999998;11;8;0.0
111;0.17797818708274848;504.63600000000014;7;64.33;5;1;0.0
112;0.502323195456524;309.415;3;32.86;3;1;0.0
113;0.2856532765684738;476.6240000000002;8;41.49;5;0;0.0
114;0.6240355391541487;322.36;7;63.60000000000001;4;1;0.0
115;0.5481228320623275;368.38500000000005;8;93.06000000000002;6;2;0.0
116;0.3026125765828188;464.58800000000014;7;32.260000000000005;4;0;0.0
117;0.5975061340524663;366.3690000000001;7;82.06000000000002;6;1;0.0
118;0.39277913076947274;286.28700000000003;3;102.15;5;4;0.0
119;0.5481228320623275;368.38500000000005;8;93.06;6;2;0.0
120;0.5481228320623274;368.3850000000001;8;93.06000000000002;6;2;0.0
121;0.40789830473990246;424.50400000000013;8;72.92;5;1;0.0
122;0.4071911553259245;440.54700000000037;8;66.17;4;2;0.0
123;0.4612250576450486;413.4810000000001;8;77.85000000000001;6;1;0.0
124;0.5481228320623274;368.3850000000001;8;93.06000000000002;6;2;0.0
125;0.4667942083376618;375.42400000000004;8;68.39;4;1;0.0
126;0.5481228320623274;368.3850000000001;8;93.06000000000002;6;2;0.0
127;0.4387219513961265;412.4930000000001;8;64.96000000000001;5;1;0.0
128;0.2956887866722013;448.5260000000001;8;75.82;4;2;0.0
129;0.3323004714321297;432.52700000000016;7;55.730000000000004;4;1;0.0
130;0.45675361931996333;396.4940000000001;7;55.730000000000004;4;1;0.0
131;0.2367981764394876;451.5220000000002;10;68.39;4;1;0.0
132;0.5481228320623274;368.3850000000001;8;93.06000000000002;6;2;0.0
133;0.31409364844542464;450.51700000000017;7;55.730000000000004;4;1;0.0
134;0.4108012894486165;426.52000000000015;8;64.96000000000001;5;1;0.0
135;0.5481228320623274;368.3850000000001;8;93.06000000000002;6;2;0.0
136;0.4858283616139848;382.46700000000004;7;55.730000000000004;4;1;0.0
137;0.5481228320623275;368.38500000000005;8;93.06000000000002;6;2;0.0
138;0.46375567808211043;400.45700000000005;7;55.730000000000004;4;1;0.0
139;0.48963766314064355;361.39700000000005;7;79.39;4;2;
140;0.3514292144646449;445.51500000000016;10;77.62;5;1;
141;0.47751065025540174;372.4200000000001;7;63.60000000000001;4;1;
142;0.4371271084254833;485.65100000000024;9;66.04;7;2;
143;0.2571763758699204;452.5100000000002;10;81.28;5;1;
144;0.5481228320623275;368.38500000000005;8;93.06;6;2;
145;0.19390086810811222;517.7010000000004;5;81.03999999999999;7;1;
146;0.2601422110908887;451.6380000000002;4;31.23;6;0;
147;0.6053706200790764;344.4100000000001;5;49.69;3;2;
148;0.48963766314064355;361.39700000000005;7;79.39;4;2;
149;0.14332712967744787;755.1159999999996;0;14.239999999999998;6;0;
150;0.6032260868367599;365.4140000000001;3;76.72;7;1;
151;0.35303929243614485;228.3;0;64.92999999999999;3;2;
152;0.5232811106031025;480.66000000000037;6;38.74;6;0;1.0
153;0.41341655334647776;450.6300000000002;6;32.260000000000005;4;0;1.0
154;0.4781378685385973;452.3850000000001;4;73.06;7;1;1.0
155;0.6420227072314931;344.41400000000004;6;44.24;4;0;1.0
156;0.5711057842471268;395.44000000000017;4;85.95;8;1;1.0
157;0.5470723041003893;454.5740000000002;6;50.72;6;0;1.0
158;0.7169201548619174;331.48299999999995;3;6.25;1;0;1.0
159;0.5162719484074123;400.84300000000013;3;84.06;7;2;1.0
160;0.5825953054244114;381.4130000000002;4;85.95;8;1;1.0
161;0.6145003348655588;370.50000000000006;6;32.260000000000005;4;0;1.0
162;0.501529370259489;452.8410000000001;3;63.83;6;1;1.0
163;0.41300148918814045;422.5760000000001;8;32.260000000000005;4;0;1.0
164;0.48631998436140644;422.5760000000002;6;32.260000000000005;4;0;1.0
165;0.5540849076127778;414.8700000000002;4;73.06;7;1;1.0
166;0.5456230354611958;419.2890000000001;3;63.83;6;1;1.0
167;0.4967683319567984;463.7400000000001;3;63.83;6;1;1.0
168;0.4823417839394909;375.5800000000001;8;6.25;1;0;1.0
169;0.5540849076127778;414.8700000000002;4;73.06;7;1;1.0
