ID_REF,Control_1,Control_2,Control_3,Control_4,Treated_1,Treated_2,Treated_3,Treated_4
243147_x_at,22839.5,25336.9,23552.4,26982.9,23276.1,20862.4,27847.4,13632
243149_at,236.1,469.9,579.5,459,402.6,322.6,271,244.1
243158_at,416.2,343.7,230.8,236.2,677.8,272.9,340,939.1
243168_at,543.6,369.3,551,426.8,649.3,458.7,814.8,752.8
243173_at,304.9,934,504.8,1368.3,224.4,486.4,546.7,762.7
243176_at,775.4,831.8,954.9,1198.2,1035,2174.5,559.1,738.3
243179_at,235.6,91.5,105.6,151.1,37.5,16.9,134.2,118.3
243183_at,394.5,668,283.1,318.9,281.7,528,734.5,256.6
243186_at,655.5,327,370.7,787.9,196,846.3,1090.4,155.8
243188_at,523.6,339.6,47.3,44.8,110.7,210.8,207.5,174.3
243194_at,691.4,601.8,33.4,557,840.2,620.8,586,774
243198_at,171,162.2,66.6,104.3,67.3,142.8,4.5,67.5
243216_x_at,3106.4,2832.3,3842.6,3074.4,3763.5,3376.4,3352,3683
243217_at,389,361,331.5,302.3,391.4,421.1,523.5,500.5
243219_x_at,3069.7,1166.9,1500.3,277.2,721.7,3157,719.1,1321.9
243225_at,1657.4,1602.2,656.9,844.8,1204,1142.3,462.2,378.1
243228_at,533.9,694.9,1044.6,1328.7,1046.7,488.4,398.4,897.1
243244_at,829.8,811.7,658.9,335.9,332.5,480.1,411.5,555
243246_at,234.1,198.3,103.2,87.3,188.6,98.3,390.2,329.2
243254_at,2168.8,2071.5,1702.7,863.3,1693.5,2275.4,888.8,2393.4
243260_x_at,224.4,251.5,29.2,155.1,262.8,336.5,203.1,101.1
243261_at,185.5,150.7,215.1,423.9,183,49.2,142.9,132.6
243264_s_at,524,64.4,17,144.7,222.2,6,117.9,64.8
243268_at,207.1,326.9,116.6,346.3,108.2,389.9,152.5,108
243273_at,818.7,774.5,566.6,37.8,447.2,803.5,646.9,1464.7
243275_at,268.3,166.2,239.5,499.4,380.9,285.2,279.1,101.1
243280_at,240.5,243.6,405.9,324.2,237,464.6,299.7,400.8
243282_at,239,409.5,403.5,209.6,266.7,513.9,278.3,551.9
243286_at,400.3,16.9,17.2,68.2,97.9,69.7,43.9,109.5
243293_at,783.9,514.7,398.6,419.9,304.7,378.9,946.8,531.1
243305_at,446.9,1086.8,934.5,957,2444,242.2,417.7,751.6
243306_s_at,537.8,235.2,398.1,506.8,251.9,280,143.6,312.7
243308_at,1151.7,1791.5,1415.3,1325.1,692.5,674.4,1960.8,1085.3
243317_at,1156.2,775.1,698.2,7,130.8,351.1,260.5,663.2
243318_at,4691.4,2507.2,2674.4,8169.6,3518.2,3238.9,4612.4,3345.4
243322_at,896.1,133.7,224.7,259.2,343.3,615,102.9,249.8
243329_at,213,427.6,655.2,729.1,1223.2,687.9,441.9,854.3
243331_at,483.3,144,134.1,37.7,383.6,33.5,446.2,88.3
